Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1925,9,38,15,7,16,52,2020-2021,178,5
1926,10,38,11,12,15,45,2020-2021,196,5
1927,11,38,10,12,16,42,2020-2021,191,5
1928,12,38,10,11,17,41,2020-2021,170,5
1929,13,38,9,13,16,40,2020-2021,186,5
1930,14,38,10,10,18,40,2020-2021,165,5
1931,15,38,9,12,17,39,2020-2021,203,5
1932,16,38,9,10,19,37,2020-2021,185,5
1933,17,38,7,16,15,37,2020-2021,177,5
1934,18,38,7,12,19,33,2020-2021,202,5
1935,19,38,6,5,27,23,2020-2021,200,5
1936,20,38,3,11,24,20,2020-2021,164,5
1937,1,38,26,8,4,86,2021-2022,162,5
1938,2,38,25,9,4,84,2021-2022,161,5
1939,3,38,24,7,7,79,2021-2022,190,5
1940,4,38,20,10,8,70,2021-2022,160,5
1941,5,38,18,10,10,64,2021-2022,163,5
1942,6,38,18,9,11,63,2021-2022,167,5
1943,7,38,19,5,14,62,2021-2022,186,5
1944,8,38,16,11,11,59,2021-2022,174,5
1945,9,38,14,11,13,53,2021-2022,196,5
1946,10,38,13,11,14,50,2021-2022,177,5
1947,11,38,13,11,14,50,2021-2022,197,5
1948,12,38,11,14,13,47,2021-2022,165,5
1949,13,38,12,10,16,46,2021-2022,170,5
1950,14,38,10,11,17,41,2021-2022,172,5
1951,15,38,10,6,22,36,2021-2022,178,5
1952,16,38,10,6,22,36,2021-2022,203,5
1953,17,38,7,10,21,31,2021-2022,204,5
1954,18,38,6,12,20,30,2021-2022,185,5
1955,19,38,4,16,18,28,2021-2022,191,5
1956,20,38,6,9,23,27,2021-2022,205,5
