Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
167,Tom Edwards,/en/players/1b780599/Tom-Edwards,1b780599,Tom-Edward,eng ENG,DF,Stoke-City
168,Joel Taylor,/en/players/3a6e34b9/Joel-Taylor,3a6e34b9,Joel-Taylo,eng ENG,DF,Stoke-City
169,Thibaud Verlinden,/en/players/e5c026d6/Thibaud-Verlinden,5c026d6,Thibaud-Verlind,be BEL,MF,Stoke-City
170,Kurt Zouma,/en/players/ce4246f5/Kurt-Zouma,ce4246f5,Kurt-Zoum,fr FRA,DF,Stoke-City
171,Eric Maxim Choupo-Moting,/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,0e6bc38c,Eric-Maxim-Choupo-Moting,cm CMR,"MF,FW",Stoke-City
172,Darren Fletcher,/en/players/184e4970/Darren-Fletcher,184e4970,Darren-Fletch,sct SCO,MF,Stoke-City
173,Moritz Bauer,/en/players/cfe6238d/Moritz-Bauer,cfe6238d,Moritz-Bau,at AUT,"DF,MF",Stoke-City
174,Kevin Wimmer,/en/players/faf55ce4/Kevin-Wimmer,faf55ce4,Kevin-Wimm,at AUT,DF,Stoke-City
175,Badou Ndiaye,/en/players/960acc0a/Badou-Ndiaye,960acc0a,Badou-Ndi,sn SEN,MF,Stoke-City
176,Jesé,/en/players/4a537185/Jese,4a537185,J,es ESP,"FW,MF",Stoke-City
177,Kostas Stafylidis,/en/players/861e0116/Kostas-Stafylidis,861e0116,Kostas-Stafylidi,gr GRE,"DF,MF",Stoke-City
178,Lasse Sørensen,/en/players/ce9c203e/Lasse-Sorensen,ce9c203e,Lasse-So,dk DEN,MF,Stoke-City
179,Tyrese Campbell,/en/players/38aefb74/Tyrese-Campbell,38aefb74,Tyrese-Campb,eng ENG,FW,Stoke-City
180,Harry Souttar,/en/players/0a6cb1b1/Harry-Souttar,0a6cb1b1,Harry-Soutt,au AUS,DF,Stoke-City
181,Tom Ince,/en/players/67d23ab0/Tom-Ince,67d23ab0,Tom-Inc,eng ENG,"FW,MF",Stoke-City
182,James McClean,/en/players/53538b39/James-McClean,53538b39,James-McC,ie IRL,"MF,FW",Stoke-City
183,Benik Afobe,/en/players/b63f4077/Benik-Afobe,b63f4077,Benik-Afob,cd COD,FW,Stoke-City
184,Oghenekaro Etebo,/en/players/b579e83d/Oghenekaro-Etebo,b579e83d,Oghenekaro-Etebo,ng NGA,MF,Stoke-City
185,Ashley Williams,/en/players/a498e276/Ashley-Williams,498e276,Ashley-William,wls WAL,DF,Stoke-City
186,Ryan Woods,/en/players/ebf5f33d/Ryan-Woods,bf5f33d,Ryan-Wood,eng ENG,MF,Stoke-City
187,Sam Clucas,/en/players/987718f5/Sam-Clucas,987718f5,Sam-Cluc,eng ENG,"MF,DF",Stoke-City
188,Danny Batth,/en/players/f1d0fa63/Danny-Batth,f1d0fa63,Danny-Batth,eng ENG,DF,Stoke-City
189,Cuco Martina,/en/players/22551915/Cuco-Martina,22551915,Cuco-Marti,cw CUW,DF,Stoke-City
190,Sam Vokes,/en/players/1d6ac165/Sam-Vokes,1d6ac165,Sam-Vok,wls WAL,FW,Stoke-City
191,Nathan Collins,/en/players/a8c19eb8/Nathan-Collins,8c19eb8,Nathan-Colli,ie IRL,DF,Stoke-City
192,Adam Federici,/en/players/e5ea8be7/Adam-Federici,5ea8be7,Adam-Federici,au AUS,GK,Stoke-City
193,Josh Tymon,/en/players/efe6f6ac/Josh-Tymon,fe6f6ac,Josh-Tymo,eng ENG,DF,Stoke-City
194,Daniel Jarvis,/en/players/9d56d667/Daniel-Jarvis,9d56d667,Daniel-Jarvi,eng ENG,"FW,MF",Stoke-City
195,Tommy Smith,/en/players/e9208654/Tommy-Smith,9208654,Tommy-Smith,eng ENG,DF,Stoke-City
196,Lee Gregory,/en/players/398a2f3d/Lee-Gregory,398a2f3d,Lee-Grego,eng ENG,FW,Stoke-City
197,Nick Powell,/en/players/05ca4fcb/Nick-Powell,05ca4fcb,Nick-Pow,eng ENG,"MF,FW",Stoke-City
198,Liam Lindsay,/en/players/30d47f6f/Liam-Lindsay,30d47f6f,Liam-Lind,sct SCO,DF,Stoke-City
199,Jordan Cousins,/en/players/d4b0eb12/Jordan-Cousins,d4b0eb12,Jordan-Cousi,eng ENG,MF,Stoke-City
200,Stephen Ward,/en/players/3831b9fe/Stephen-Ward,3831b9fe,Stephen-Ward,ie IRL,DF,Stoke-City
201,James Chester,/en/players/a772eba6/James-Chester,772eba6,James-Chest,wls WAL,DF,Stoke-City
202,Cameron Carter-Vickers,/en/players/88ced02c/Cameron-Carter-Vickers,88ced02c,Cameron-Carter-Vick,us USA,DF,Stoke-City
203,Jordan Thompson,/en/players/6bf53300/Jordan-Thompson,6bf53300,Jordan-Thompso,nir NIR,MF,Stoke-City
204,Scott Hogan,/en/players/cdda4027/Scott-Hogan,cdda4027,Scott-Hog,ie IRL,FW,Stoke-City
205,Adam Davies,/en/players/71894777/Adam-Davies,71894777,Adam-Davi,wls WAL,GK,Stoke-City
206,Mark Duffy,/en/players/d86ccbc9/Mark-Duffy,d86ccbc9,Mark-Duff,eng ENG,"MF,FW",Stoke-City
207,Tashan Oakley-Boothe,/en/players/d73892ac/Tashan-Oakley-Boothe,d73892ac,Tashan-Oakley-Booth,eng ENG,MF,Stoke-City
208,Blondy Noukeu,/en/players/9b526c28/Blondy-Noukeu,9b526c28,Blondy-Noukeu,cm CMR,GK,Stoke-City
209,Adam Porter,/en/players/797657b3/Adam-Porter,797657b3,Adam-Port,eng ENG,MF,Stoke-City
210,John Obi Mikel,/en/players/424d5f72/John-Obi-Mikel,424d5f72,John-Obi-Mik,ng NGA,MF,Stoke-City
211,Steven Fletcher,/en/players/2c9c3502/Steven-Fletcher,2c9c3502,Steven-Fletch,sct SCO,FW,Stoke-City
212,Jacob Brown,/en/players/ca18c8f1/Jacob-Brown,ca18c8f1,Jacob-Brow,sct SCO,"FW,MF",Stoke-City
213,Morgan Fox,/en/players/008f854b/Morgan-Fox,008f854b,Morgan-Fox,wls WAL,DF,Stoke-City
214,Rhys Norrington-Davies,/en/players/ca76b087/Rhys-Norrington-Davies,ca76b087,Rhys-Norrington-Davi,wls WAL,DF,Stoke-City
